BTC,ETH,BIN,TET,SOL,CAR,USD,XRP,POL,DOGE
0.11997944544697389,0.007640970419406494,0.0007802426821267548,99.99999999999999,0.4721410807687445,0.3227444553216887,49.706988848381116,0.08303556690612421,0.0,0.01715606251189985
0.11124611064093964,0.006407173015744257,0.001164946896603394,0.04553532591810949,0.6629291186877966,0.09939432246085933,53.441502122876045,0.055413627628004,3.5713985178066174,0.02647546622076085
0.07654918813412381,0.0065643359066949614,0.0006217134281638961,0.0,0.47396971058747184,0.14810257729442433,53.65799564603503,0.0476180708702085,2.4229317323952664,0.040071554393522016
0.05797900798394376,0.015186914109348639,0.0011759002559803434,65.68203318212888,0.2647354803395823,0.1287712096354764,57.636064134084336,0.04278400970377777,3.833039571357986,0.15703825654155334
0.0462189450574258,0.01877545653799166,0.0009691164470901122,65.68203318212888,0.23716307643051948,0.0,50.47824702463549,0.04387881740068286,5.87599548197068,0.09005550929254245
0.069471083053955,0.03341535564394197,0.0006488012667680895,65.68203318212888,0.3168894512466949,0.10485579202964856,62.49363755996751,0.04455141170695667,7.114762215861058,0.04475221093810618
0.07484666784853378,0.03342015459816718,0.0,65.68203318212888,0.26257492609445565,0.08461195675461342,76.68749417208801,0.047558824953429335,6.108838221496882,0.03322626209814865
0.06915580463772364,0.03008615407828858,8.662108929757828e-05,65.68203318212888,0.2993437878208658,0.1560569269308275,69.4214303010599,0.048543115697983114,7.288351536624269,0.053151055630222356
0.06789466691859708,0.027138406455188696,0.0010028654104060081,65.68203318212888,0.16552983483273587,0.13063103022610278,56.91892933861959,0.042525046822541046,7.2865509665038175,0.08737999099111779
0.07115154563696749,0.01844366233391647,0.0011289779259953166,65.68203318212888,0.042493098913159666,0.17377307809764175,60.572257541930185,0.028984002077032306,6.6447569483589195,0.07294337309899382
0.06973907091046172,0.01564729626328918,0.0042932018517198595,65.68203318212888,0.13067149034814163,0.33672787313308805,49.86935899075047,0.00834844506174559,7.599118394424774,0.07517256362016252
0.07688023407929695,0.019769154654365836,0.004608189235107729,65.68203318212888,0.3183066020708152,0.6593064400369177,49.125162504890795,0.009579556999884845,7.5741496524516325,0.06347909202685999
0.07379518654779985,0.024712698110070715,0.007250198628796873,65.68203318212888,0.20251467136222057,0.6079612099021827,57.879619347638254,0.08476444664576344,7.242890912678412,0.05422424096303619
0.07341212339234979,0.023042218751314382,0.01843651650568627,65.68203318212888,0.21476299086619544,0.502472358395551,53.00851507655807,0.08317719693307718,6.374043419876029,0.05363229407938918
0.07810984876764063,0.022656926789350725,0.02117355500436871,65.68203318212888,0.23116694082390254,0.45443204839743023,54.753994107028575,0.07259851701338693,5.038747907046034,0.04799353456539897
0.06789466691859708,0.022017810759808895,0.03688840102012386,65.68203318212888,0.21704497895036257,0.37887450917961485,53.98273593077397,0.09741749250820225,2.767382063549803,0.048924467317379615
0.0721825207311067,0.019107247882141805,0.04332623247975295,65.68203318212888,0.10307500879765841,0.35587586903602375,51.2089126652977,0.09838341895018682,4.269804172856215,0.05147335846338461
0.07933945142888371,0.016922167910445172,0.05128867627969141,65.68203318212888,0.2635940385568689,0.3707717544635101,56.161202007562906,0.06911141052316555,3.8154106688988296,0.03881857465251223
0.08604709775507538,0.01739694692706136,0.11500582792926509,65.68203318212888,0.41621944760123886,0.5278459677215113,51.57424548562858,0.06898904162798389,3.1046547110180516,0.03149759526965872
0.08680850944252377,0.01710233746841896,0.1769880345059103,65.68203318212888,0.3173038256941292,0.43207955990497604,55.403474676505766,0.08106015571771741,4.0689451618813735,0.031191326729796423
0.08443126881091337,0.018150256903717944,0.1416082866976681,65.68203318212888,0.3854473042434161,0.4011964221597579,51.7501464731954,0.09759052535457485,3.7863801475454046,0.026794444233428014
0.08444703633985515,0.01793841653579778,0.19795803149439897,65.68203318212888,0.3621285981313158,0.30186756056967057,46.7572645953378,0.10686549156293595,3.9283393445631223,0.024432641627825206
0.08583427820921385,0.02121843883038038,0.2763953247299288,65.68203318212888,0.296524500790865,0.37779184329951865,35.53478158857615,0.10790607558658713,5.018777245259189,0.02005211992102015
0.08742488632332945,0.02215335976723335,0.33809749056554794,65.68203318212888,0.2747830959333539,0.39240823927005164,30.27940131388823,0.10180029681525538,5.37580121803725,0.02048647571794872
0.0918561873651971,0.021994299316015403,0.2950784120306353,65.68203318212888,0.22847370148487767,0.3751330748140502,40.38288342282112,0.08747822421433768,5.488420224128465,0.02312343840965784
0.1021028922450235,0.020631144642650756,0.35564968652115725,65.68203318212888,0.19371690903896033,0.3423901977960555,45.55301937276522,0.09244829987718467,4.927075011569039,0.04179715224563536
0.10017966263555075,0.019914779177723198,0.3850360983983812,65.68203318212888,0.1763768559902752,0.31987621204974204,37.27078902740868,0.0836020732165664,4.892942585792836,0.039313398210406365
0.1025442868385876,0.020142211856987738,0.3530874738724419,65.68203318212888,0.16183450344646877,0.4395317718059397,38.73076722421297,0.08819230721920562,5.460889844249298,0.03768463038851997
0.09665637161085777,0.021687217724252528,0.3671730617198006,65.68203318212888,0.1611219392545964,0.4384840726021588,41.12843299320048,0.08052296882347565,5.260011801598223,0.02779811002522755
0.09548194928736053,0.0206560946287418,0.337404733595529,65.68203318212888,0.03928306932764569,0.5194506313742955,46.24309247783481,0.08472948410428377,4.549236538117308,0.03715198020907708
0.10068412734488189,0.019476226831649797,0.3548045089014434,65.68203318212888,0.0,0.19414783511422495,45.620673598752546,0.08547496992857134,3.9879839981007184,0.047607957215010724
